secp521r1,P-521,,secp521r1,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
463,"6,51","71,12",1109,"7,02","157,98",103,"1,20","85,83",1373,"1,34","1024,63",447,"3,91","114,32",3879,"3,79","1023,48",208,"2,67","77,90",173,"0,85","203,53",28,"0,33","84,85",26,"0,09","288,89"
458,"6,51","70,35",1205,"7,15","168,53",117,"1,12","104,46",1378,"1,37","1005,84",632,"5,80","108,97",4672,"4,83","967,29",195,"2,49","78,31",254,"1,23","206,50",28,"0,32","87,50",29,"0,11","263,64"
304,"4,32","70,37",1164,"6,86","169,68",112,"1,12","100,00",1343,"1,35","994,81",647,"5,87","110,22",4834,"4,68","1032,91",185,"2,40","77,08",236,"1,25","188,80",27,"0,32","84,38",29,"0,11","263,64"
474,"6,49","73,04",1193,"7,01","170,19",119,"1,14","104,39",1199,"1,37","875,18",431,"3,99","108,02",4695,"4,61","1018,44",200,"2,72","73,53",167,"0,84","198,81",27,"0,34","79,41",27,"0,11","245,45"
457,"6,61","69,14",1154,"6,97","165,57",122,"1,11","109,91",1257,"1,37","917,52",648,"5,86","110,58",4755,"4,80","990,62",203,"2,62","77,48",249,"1,24","200,81",28,"0,33","84,85",29,"0,11","263,64"
365,"5,13","71,15",1102,"6,72","163,99",121,"1,10","110,00",1393,"1,34","1039,55",625,"5,83","107,20",4881,"4,85","1006,39",130,"1,76","73,86",244,"1,28","190,62",29,"0,33","87,88",29,"0,11","263,64"
454,"6,48","70,06",1102,"6,47","170,32",13,"0,12","108,33",1313,"1,30","1010,00",499,"4,55","109,67",4612,"4,47","1031,77",206,"2,64","78,03",172,"0,86","200,00",26,"0,32","81,25",27,"0,10","270,00"
468,"6,53","71,67",1199,"7,03","170,55",71,"0,67","105,97",1375,"1,40","982,14",626,"5,75","108,87",4536,"4,42","1026,24",207,"2,70","76,67",254,"1,30","195,38",26,"0,31","83,87",30,"0,11","272,73"
453,"6,31","71,79",1175,"7,10","165,49",117,"1,11","105,41",1343,"1,32","1017,42",627,"5,76","108,85",4711,"4,94","953,64",134,"1,84","72,83",248,"1,25","198,40",28,"0,34","82,35",29,"0,11","263,64"
442,"6,57","67,28",804,"4,81","167,15",100,"1,09","91,74",1312,"1,35","971,85",612,"5,60","109,29",4893,"4,83","1013,04",208,"2,62","79,39",201,"0,98","205,10",28,"0,32","87,50",27,"0,10","270,00"
469,"6,57","71,39",1169,"7,19","162,59",116,"1,13","102,65",1353,"1,37","987,59",646,"5,92","109,12",3162,"3,33","949,55",198,"2,71","73,06",251,"1,27","197,64",27,"0,32","84,38",28,"0,11","254,55"
443,"6,16","71,92",1231,"7,08","173,87",123,"1,10","111,82",285,"0,29","982,76",633,"5,83","108,58",4793,"4,90","978,16",138,"1,81","76,24",250,"1,32","189,39",28,"0,33","84,85",28,"0,11","254,55"
421,"6,01","70,05",789,"4,83","163,35",123,"1,06","116,04",1395,"1,32","1056,82",597,"5,62","106,23",5023,"4,93","1018,86",200,"2,63","76,05",234,"1,21","193,39",28,"0,33","84,85",28,"0,10","280,00"
463,"6,62","69,94",1197,"7,16","167,18",120,"1,15","104,35",1407,"1,32","1065,91",595,"5,33","111,63",3348,"3,21","1042,99",208,"2,68","77,61",255,"1,24","205,65",26,"0,31","83,87",29,"0,11","263,64"
463,"6,60","70,15",1170,"7,03","166,43",123,"1,14","107,89",1340,"1,37","978,10",620,"5,91","104,91",4658,"4,85","960,41",159,"2,09","76,08",245,"1,29","189,92",28,"0,32","87,50",27,"0,07","385,71"
