p521_mldsa87,p521_mlkem1024,,p521_falcon1024,p521_mlkem1024,,p521_falcon1024,mlkem1024,,p521_sphincssha2256fsimple,p521_mlkem1024,,p521_sphincssha2256fsimple,mlkem1024,,p521_sphincssha2256ssimple,p521_mlkem1024,,p521_sphincssha2256ssimple,mlkem1024,,p521_mldsa87,mlkem1024,,p521_mayo5,p521_mlkem1024,,p521_mayo5,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
368,"6,20","59,35",402,"6,65","60,45",1028,"6,23","165,01",157,"3,28","47,87",200,"2,01","99,50",27,"0,53","50,94",26,"0,21","123,81",1577,"9,32","169,21",369,"6,13","60,20",972,"6,29","154,53"
413,"6,75","61,19",387,"6,70","57,76",967,"6,03","160,36",158,"3,29","48,02",195,"1,99","97,99",26,"0,52","50,00",27,"0,23","117,39",1524,"9,22","165,29",370,"6,18","59,87",989,"6,39","154,77"
394,"6,65","59,25",386,"6,36","60,69",1001,"6,18","161,97",103,"2,22","46,40",194,"1,92","101,04",26,"0,49","53,06",27,"0,23","117,39",1585,"9,43","168,08",369,"6,13","60,20",971,"6,41","151,48"
279,"4,60","60,65",375,"6,13","61,17",1005,"6,18","162,62",160,"3,37","47,48",194,"1,99","97,49",27,"0,55","49,09",26,"0,23","113,04",1438,"9,12","157,68",367,"6,14","59,77",985,"6,36","154,87"
413,"6,71","61,55",416,"6,75","61,63",987,"6,19","159,45",163,"3,32","49,10",195,"1,98","98,48",25,"0,47","53,19",27,"0,24","112,50",1589,"9,40","169,04",371,"6,10","60,82",989,"6,39","154,77"
402,"6,80","59,12",408,"6,82","59,82",987,"6,11","161,54",126,"2,71","46,49",194,"1,99","97,49",27,"0,49","55,10",27,"0,24","112,50",1539,"9,22","166,92",373,"6,06","61,55",957,"6,32","151,42"
278,"4,54","61,23",275,"4,50","61,11",979,"6,14","159,45",158,"3,24","48,77",198,"2,05","96,59",27,"0,57","47,37",26,"0,22","118,18",1575,"9,31","169,17",369,"6,19","59,61",1006,"6,39","157,43"
386,"6,76","57,10",403,"6,67","60,42",981,"6,13","160,03",163,"3,32","49,10",198,"1,98","100,00",26,"0,51","50,98",27,"0,24","112,50",1572,"9,34","168,31",372,"6,05","61,49",951,"6,35","149,76"
391,"6,66","58,71",408,"6,74","60,53",1000,"6,16","162,34",155,"3,14","49,36",197,"2,00","98,50",27,"0,53","50,94",26,"0,22","118,18",1589,"9,35","169,95",370,"6,12","60,46",962,"6,42","149,84"
269,"4,62","58,23",278,"4,52","61,50",1007,"6,15","163,74",164,"3,22","50,93",199,"1,99","100,00",27,"0,52","51,92",27,"0,23","117,39",1569,"9,34","167,99",376,"6,16","61,04",973,"6,37","152,75"
408,"6,72","60,71",412,"6,59","62,52",1025,"6,16","166,40",162,"3,36","48,21",198,"1,95","101,54",26,"0,51","50,98",27,"0,22","122,73",1582,"9,37","168,84",376,"6,10","61,64",966,"6,30","153,33"
399,"6,79","58,76",397,"6,65","59,70",1019,"6,17","165,15",149,"3,12","47,76",197,"2,02","97,52",27,"0,50","54,00",26,"0,21","123,81",1575,"9,40","167,55",373,"6,15","60,65",943,"6,39","147,57"
315,"5,24","60,11",283,"4,53","62,47",1028,"6,16","166,88",160,"3,38","47,34",197,"2,01","98,01",27,"0,53","50,94",27,"0,22","122,73",1578,"9,32","169,31",372,"6,08","61,18",958,"6,37","150,39"
377,"6,47","58,27",410,"6,71","61,10",981,"6,20","158,23",161,"3,26","49,39",198,"2,02","98,02",25,"0,47","53,19",26,"0,22","118,18",1558,"9,38","166,10",384,"6,07","63,26",988,"6,34","155,84"
402,"6,85","58,69",415,"6,69","62,03",980,"6,16","159,09",149,"3,00","49,67",195,"2,00","97,50",27,"0,53","50,94",27,"0,23","117,39",1592,"9,37","169,90",373,"6,10","61,15",975,"6,37","153,06"
387,"6,38","60,66",312,"5,13","60,82",992,"6,12","162,09",147,"3,05","48,20",200,"1,98","101,01",26,"0,48","54,17",27,"0,23","117,39",1587,"9,37","169,37",391,"6,10","64,10",944,"6,38","147,96"
395,"6,76","58,43",412,"6,58","62,61",987,"6,08","162,34",153,"3,27","46,79",199,"2,00","99,50",25,"0,48","52,08",26,"0,22","118,18",1564,"9,40","166,38",395,"6,12","64,54",959,"6,44","148,91"
